file,detected,matched_keywords
NomosTestfiles/GNU-Manpages/GNU-Manpages.txt,True,"Matched keywords: \bcopyright\b, deriv(e|ed|ation|ative|es|ing), redistribut(e|ion|able|ing)?|distribut(e|ion|able|ing), \bpermission\b"
NomosTestfiles/Imlib2/Imlib2.text,True,"Matched keywords: acknowledg(e|ement|ements)?, as[\s-]is, \bcopyright\b, \bdamages\b, redistribut(e|ion|able|ing)?|distribut(e|ion|able|ing), [^e]liabilit(y|ies)?, licen[cs](e|ing)?, \bpermission\b, see[\s:-]*(https?://|file://|www\.|[A-Za-z0-9._/-]+), \bsource code\b, \bsubject to\b, warrant(y|ies|ed|ing)?, without (fee|restrict(ion|ed)?|limit(ation|ed)?)"
NomosTestfiles/FTL/watcom.mk,True,"Matched keywords: \bcopyright\b, redistribut(e|ion|able|ing)?|distribut(e|ion|able|ing), licen[cs](e|ing)?"
NomosTestfiles/FTL/gxvfgen.c,True,"Matched keywords: \bcopyright\b, deriv(e|ed|ation|ative|es|ing), redistribut(e|ion|able|ing)?|distribut(e|ion|able|ing), licen[cs](e|ing)?, require(s|d|ment|ments)?"
NomosTestfiles/FTL/freetype.h,True,"Matched keywords: \bcopyright\b, redistribut(e|ion|able|ing)?|distribut(e|ion|able|ing), licen[cs](e|ing)?, see[\s:-]*(https?://|file://|www\.|[A-Za-z0-9._/-]+)"
NomosTestfiles/YPL-1.0/YPL-1.0.txt,True,"Matched keywords: \bagreement\b, as[\s-]is, \bcopyright\b, \bdamages\b, redistribut(e|ion|able|ing)?|distribut(e|ion|able|ing), \bgrant\b, intellectual propert(y|ies)?, [^e]liabilit(y|ies)?, licen[cs](e|ing)?, \bpatent\b, require(s|d|ment|ments)?, see[\s:-]*(https?://|file://|www\.|[A-Za-z0-9._/-]+), \bsource code\b, \bsubject to\b, \bterms and conditions\b, warrant(y|ies|ed|ing)?, without (fee|restrict(ion|ed)?|limit(ation|ed)?)"
NomosTestfiles/Intel/Intel-software-license-emgd-1.16,True,"Matched keywords: \bagreement\b, as[\s-]is, \bcopyright\b, \bdamages\b, deriv(e|ed|ation|ative|es|ing), redistribut(e|ion|able|ing)?|distribut(e|ion|able|ing), [^e]liabilit(y|ies)?, licen[cs](e|ing)?, \bpermission\b, \bsource code\b, \bsubject to\b, \bterms and conditions\b, warrant(y|ies|ed|ing)?, without (fee|restrict(ion|ed)?|limit(ation|ed)?)"
NomosTestfiles/Intel/INTEL-binary.txt,True,"Matched keywords: as[\s-]is, \bcopyright\b, \bdamages\b, deriv(e|ed|ation|ative|es|ing), redistribut(e|ion|able|ing)?|distribut(e|ion|able|ing), [^e]liabilit(y|ies)?, \bpermission\b, warrant(y|ies|ed|ing)?"
NomosTestfiles/Intel/ISSL.txt,True,"Matched keywords: \bagreement\b, as[\s-]is, \bcopyright\b, \bdamages\b, deriv(e|ed|ation|ative|es|ing), redistribut(e|ion|able|ing)?|distribut(e|ion|able|ing), indemnif(i|y|ied|ication|ying)?, intellectual propert(y|ies)?, [^e]liabilit(y|ies)?, licen[cs](e|ing)?, \bpatent\b, \bpermission\b, \bsubject to\b, warrant(y|ies|ed|ing)?, without (fee|restrict(ion|ed)?|limit(ation|ed)?)"
NomosTestfiles/Intel/README.ipw3945,True,"Matched keywords: as[\s-]is, \bcopyright\b, \bdamages\b, deriv(e|ed|ation|ative|es|ing), redistribut(e|ion|able|ing)?|distribut(e|ion|able|ing), \bfree software\b, intellectual propert(y|ies)?, [^e]liabilit(y|ies)?, licen[cs](e|ing)?, \bopen source\b, \bpatent\b, \bpermission\b, require(s|d|ment|ments)?, see[\s:-]*(https?://|file://|www\.|[A-Za-z0-9._/-]+), source (and|or)? ?binary, \bsource code\b, \bsubject to\b, \bterms and conditions\b, warrant(y|ies|ed|ing)?, without (fee|restrict(ion|ed)?|limit(ation|ed)?), \bException\b"
NomosTestfiles/Intel/intel-wlan-license.txt,True,"Matched keywords: [^e]liabilit(y|ies)?, licen[cs](e|ing)?, \bopen source\b, require(s|d|ment|ments)?, \bsource code\b, warrant(y|ies|ed|ing)?, without (fee|restrict(ion|ed)?|limit(ation|ed)?)"
NomosTestfiles/Intel/INTEL-LICENSE.txt,True,"Matched keywords: as[\s-]is, \bcopyright\b, \bdamages\b, deriv(e|ed|ation|ative|es|ing), redistribut(e|ion|able|ing)?|distribut(e|ion|able|ing), [^e]liabilit(y|ies)?, licen[cs](e|ing)?, \bopen source\b, \bpermission\b, source (and|or)? ?binary, \bsource code\b, warrant(y|ies|ed|ing)?"
NomosTestfiles/Intel/Intel-ACPI.txt,True,"Matched keywords: \bagreement\b, as[\s-]is, \bcopyright\b, \bdamages\b, deriv(e|ed|ation|ative|es|ing), redistribut(e|ion|able|ing)?|distribut(e|ion|able|ing), intellectual propert(y|ies)?, [^e]liabilit(y|ies)?, licen[cs](e|ing)?, \bpatent\b, require(s|d|ment|ments)?, see[\s:-]*(https?://|file://|www\.|[A-Za-z0-9._/-]+), \bsource code\b, warrant(y|ies|ed|ing)?"
NomosTestfiles/Intel/intel-536EP.install,True,Matched keywords: licen[cs](e|ing)?
NomosTestfiles/Vim/Vim.txt,True,"Matched keywords: redistribut(e|ion|able|ing)?|distribut(e|ion|able|ing), licen[cs](e|ing)?, require(s|d|ment|ments)?, see[\s:-]*(https?://|file://|www\.|[A-Za-z0-9._/-]+), \bsource code\b, without (fee|restrict(ion|ed)?|limit(ation|ed)?)"
